                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88556,                0.84796,                0.97648,                0.91951,                0.84043,                 0.9156,                0.73071,                0.78707,                0.67745,                0.94789,             0.00066579,             0.00066579,             0.00066579
                      2,                0.83808,                0.60571,                0.94879,                0.93372,                0.88965,                 0.9543,                0.78215,                 0.7014,                0.51725,                0.90781,              0.0012995,              0.0012995,              0.0012995
                      3,                0.79631,                0.56859,                0.93591,                0.93711,                0.90599,                0.95732,                0.79022,                0.68943,                0.49996,                0.90564,              0.0019002,              0.0019002,              0.0019002
                      4,                0.74478,                0.53249,                 0.9231,                0.92698,                0.92984,                0.95726,                 0.7907,                0.67726,                0.46478,                0.89669,              0.0018515,              0.0018515,              0.0018515
                      5,                0.72053,                0.50647,                0.91319,                0.95601,                0.91792,                0.96804,                0.82969,                0.60723,                0.43962,                0.87937,              0.0018515,              0.0018515,              0.0018515
                      6,                0.69531,                0.48421,                0.90572,                0.94456,                0.92855,                0.97166,                0.81749,                0.61452,                0.43067,                0.87892,               0.001802,               0.001802,               0.001802
                      7,                0.65313,                0.45078,                0.89135,                0.95729,                0.93127,                0.97391,                0.82947,                 0.6037,                0.41259,                0.87441,              0.0017525,              0.0017525,              0.0017525
                      8,                0.64656,                0.44263,                 0.8932,                0.94527,                 0.9346,                0.96936,                0.83556,                0.54808,                0.39892,                0.86569,               0.001703,               0.001703,               0.001703
                      9,                0.62068,                0.42423,                0.88146,                0.94895,                0.93713,                0.97608,                0.84203,                0.54636,                0.38638,                0.86184,              0.0016535,              0.0016535,              0.0016535
                     10,                0.60867,                0.42205,                0.87932,                0.94759,                0.93605,                0.97483,                0.85519,                0.52136,                0.37745,                0.85284,               0.001604,               0.001604,               0.001604
                     11,                0.58861,                0.40342,                0.87179,                0.95749,                0.93869,                0.97842,                0.86002,                0.51273,                0.36628,                0.85285,              0.0015545,              0.0015545,              0.0015545
                     12,                 0.5903,                0.39749,                0.87284,                 0.9596,                0.93392,                0.97612,                0.86664,                0.51407,                0.36254,                0.85013,               0.001505,               0.001505,               0.001505
                     13,                0.57372,                0.39137,                0.87287,                   0.96,                0.93195,                0.97738,                0.86835,                0.49102,                0.34449,                0.84462,              0.0014555,              0.0014555,              0.0014555
                     14,                0.57021,                0.38668,                0.86888,                0.95915,                0.93392,                0.97645,                0.87124,                0.48245,                0.33857,                0.84533,               0.001406,               0.001406,               0.001406
                     15,                0.56461,                0.38127,                0.86593,                0.96854,                0.93324,                0.97969,                0.87094,                0.49303,                0.33446,                0.84162,              0.0013565,              0.0013565,              0.0013565
                     16,                0.55835,                0.37663,                0.86393,                  0.975,                0.94005,                0.97898,                 0.8787,                0.46724,                0.32475,                0.83679,               0.001307,               0.001307,               0.001307
                     17,                0.54666,                0.36677,                0.86602,                0.95809,                0.94414,                0.98027,                0.87498,                0.48127,                0.32955,                0.83922,              0.0012575,              0.0012575,              0.0012575
                     18,                0.53562,                0.36135,                0.86133,                0.97035,                0.93625,                0.98165,                0.87719,                0.47028,                0.30876,                0.83736,               0.001208,               0.001208,               0.001208
                     19,                0.52552,                0.34845,                0.85977,                0.95352,                  0.953,                0.98094,                0.87814,                0.47291,                0.31343,                0.83544,              0.0011585,              0.0011585,              0.0011585
                     20,                0.52987,                  0.353,                0.85745,                0.97056,                0.94755,                0.98176,                0.88476,                0.44195,                0.30157,                0.83284,               0.001109,               0.001109,               0.001109
                     21,                0.51473,                0.34072,                0.85345,                0.97036,                0.93679,                0.98076,                 0.8897,                0.44217,                0.29747,                0.83058,              0.0010595,              0.0010595,              0.0010595
                     22,                0.51508,                0.33907,                0.85384,                0.96743,                 0.9455,                0.98185,                0.89222,                0.43179,                0.28872,                0.82828,                0.00101,                0.00101,                0.00101
                     23,                0.50591,                0.33466,                0.85116,                0.96634,                0.95232,                 0.9826,                0.89021,                0.44213,                0.29264,                0.83066,              0.0009605,              0.0009605,              0.0009605
                     24,                0.50348,                0.33365,                0.85075,                0.95358,                0.95913,                0.98143,                0.89167,                0.42562,                0.28926,                0.82653,               0.000911,               0.000911,               0.000911
