                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88556,                0.84796,                0.97648,                0.91951,                0.84043,                 0.9156,                0.73071,                0.78707,                0.67745,                0.94789,             0.00066579,             0.00066579,             0.00066579
                      2,                0.83461,                0.60871,                0.94548,                0.92739,                0.90668,                0.95272,                0.75707,                0.71184,                0.52379,                0.90955,              0.0012885,              0.0012885,              0.0012885
                      3,                0.78854,                0.55891,                0.93614,                0.91467,                0.89814,                0.95087,                0.77404,                0.72529,                0.52775,                 0.9142,              0.0018672,              0.0018672,              0.0018672
                      4,                0.74694,                0.53092,                0.92191,                0.94082,                0.92042,                0.96152,                0.81543,                0.63053,                0.44612,                0.88381,               0.001802,               0.001802,               0.001802
                      5,                0.71535,                    0.5,                0.91194,                0.95201,                0.93052,                0.96698,                0.81884,                0.62246,                0.43299,                0.88408,               0.001802,               0.001802,               0.001802
                      6,                0.69471,                0.48431,                0.90605,                0.94509,                0.92632,                0.96669,                0.81908,                0.60425,                0.43527,                0.87695,               0.001736,               0.001736,               0.001736
                      7,                0.65422,                0.45369,                 0.8917,                0.95062,                0.93115,                0.96994,                0.83132,                0.57967,                0.40547,                0.86799,                0.00167,                0.00167,                0.00167
                      8,                  0.639,                0.43972,                0.89122,                0.94064,                0.93909,                0.97094,                0.84013,                 0.5315,                0.39944,                0.85708,               0.001604,               0.001604,               0.001604
                      9,                0.61136,                  0.421,                 0.8778,                0.95005,                0.92984,                0.97076,                0.84399,                0.53942,                0.38897,                0.85829,               0.001538,               0.001538,               0.001538
                     10,                0.60253,                0.41697,                0.87837,                0.95573,                0.94128,                 0.9767,                0.85514,                0.52788,                0.37918,                0.85237,               0.001472,               0.001472,               0.001472
                     11,                0.57992,                0.39426,                0.86978,                0.96787,                0.92711,                0.97459,                0.85379,                0.52159,                0.36226,                0.85255,               0.001406,               0.001406,               0.001406
                     12,                0.58522,                0.38781,                0.87052,                0.95538,                0.94806,                0.97854,                0.87185,                0.50198,                0.34972,                 0.8443,                0.00134,                0.00134,                0.00134
                     13,                 0.5664,                0.38682,                0.87006,                0.96634,                0.93324,                0.97668,                0.86602,                0.48907,                0.34486,                0.84451,               0.001274,               0.001274,               0.001274
                     14,                 0.5567,                0.37288,                0.86533,                0.95475,                0.95027,                0.98064,                0.87601,                0.47737,                0.32597,                0.83841,               0.001208,               0.001208,               0.001208
                     15,                0.54886,                0.37056,                0.86174,                0.96704,                0.93934,                 0.9816,                0.87719,                0.47083,                0.32466,                0.83835,               0.001142,               0.001142,               0.001142
                     16,                0.54419,                0.36963,                0.86105,                 0.9698,                0.94055,                 0.9798,                0.88484,                0.45354,                0.31292,                0.83337,               0.001076,               0.001076,               0.001076
                     17,                0.52837,                0.35491,                0.86163,                0.95643,                0.94891,                0.98148,                0.88282,                 0.4653,                0.31187,                0.83695,                0.00101,                0.00101,                0.00101
                     18,                0.52529,                0.35081,                0.85853,                0.96417,                0.94687,                0.98177,                0.88487,                0.45874,                0.30827,                0.83219,               0.000944,               0.000944,               0.000944
                     19,                0.50892,                0.33824,                0.85648,                0.95995,                  0.947,                0.98297,                 0.8905,                0.44464,                0.29968,                 0.8285,               0.000878,               0.000878,               0.000878
                     20,                0.50997,                 0.3377,                0.85295,                0.96883,                 0.9527,                0.98477,                 0.8946,                0.43566,                0.29875,                0.82987,               0.000812,               0.000812,               0.000812
                     21,                0.47487,                0.31392,                0.84466,                0.96484,                0.95334,                0.98371,                 0.8947,                0.43599,                0.29484,                0.82564,               0.000746,               0.000746,               0.000746
                     22,                0.45785,                0.30291,                0.83244,                0.97599,                0.93869,                 0.9827,                0.89953,                0.42394,                0.28602,                0.82387,                0.00068,                0.00068,                0.00068
                     23,                0.45307,                0.29743,                0.83668,                0.95462,                0.96003,                0.98433,                0.90414,                0.41809,                 0.2847,                0.82429,               0.000614,               0.000614,               0.000614
                     24,                0.44156,                0.29103,                0.83711,                0.96067,                0.96049,                0.98416,                0.90543,                0.40903,                0.27643,                0.82148,               0.000548,               0.000548,               0.000548
                     25,                0.43527,                0.28206,                0.83295,                0.97129,                0.94485,                0.98314,                0.90349,                0.40254,                 0.2734,                0.82031,               0.000482,               0.000482,               0.000482
                     26,                0.42142,                0.27532,                0.82475,                0.95528,                0.96035,                0.98487,                0.91101,                0.39883,                0.27119,                0.81715,               0.000416,               0.000416,               0.000416
                     27,                0.41705,                0.27124,                0.82658,                0.96952,                0.95436,                0.98676,                0.91672,                0.38689,                0.26284,                0.81513,                0.00035,                0.00035,                0.00035
                     28,                0.40622,                0.26502,                0.82486,                0.96019,                0.96322,                0.98652,                0.91949,                0.37817,                0.25387,                 0.8137,               0.000284,               0.000284,               0.000284
                     29,                0.39456,                0.25526,                0.81774,                0.96361,                0.96322,                0.98748,                 0.9186,                0.37884,                0.24756,                0.81402,               0.000218,               0.000218,               0.000218
                     30,                0.39113,                0.25165,                0.81877,                0.96822,                 0.9639,                0.98739,                0.92228,                0.36941,                0.24342,                0.81246,               0.000152,               0.000152,               0.000152
